,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
1586,6059099305,34.8,2.49,82697.0,38134.0,0.3853,28.79999924,1793.0,5.298013245033113,10.396839648051714,28.47908062488777
1587,6059099306,37.1,2.21,85584.0,53679.0,0.4674,29.0,1760.0,3.8510584034685027,3.3950617283950617,38.33774250440917
1588,6059099308,50.3,2.78,148828.0,90074.0,0.4874,22.79999924,3501.0,0.8273787138021812,4.263038548752834,60.06802721088435
1589,6059099309,46.6,2.29,95579.0,55861.0,0.4471,39.70000076,1868.0,5.3940321346595255,4.708048395581272,49.47396107311941
1590,6059099310,40.9,2.14,103159.0,64217.0,0.4719,31.39999962,1905.0,0.0,1.9631531259438235,55.33071579583208
1591,6059099311,40.9,2.09,102882.0,73729.0,0.4806,28.0,1794.0,6.887177163570457,2.2246941045606228,54.653318502039305
1592,6059099402,28.3,3.85,61298.0,20505.0,0.4321,35.29999924,1599.0,1.3567839195979898,29.27211646136618,19.776035834266516
1593,6059099404,46.3,2.68,115717.0,54641.0,0.4055,25.39999962,1893.0,4.679512386944554,2.2720294749769727,50.168867055572605
1594,6059099405,36.7,2.62,102115.0,41442.0,0.3692,24.79999924,1925.0,3.4047919293820934,6.421714664018537,45.316120489904
1595,6059099406,43.1,2.81,96250.0,39767.0,0.3844,32.29999924,1856.0,4.339010543390105,5.85122022934431,43.51661276095266
1596,6059099410,35.5,2.86,64077.0,28971.0,0.402,34.29999924,1716.0,5.379513633014001,6.415094339622642,25.486211901306238
1597,6059099411,31.4,2.87,68173.0,30659.0,0.3767,31.39999962,1869.0,5.26176626123744,12.994791666666666,29.427083333333332
1598,6059099412,40.4,2.56,96509.0,53515.0,0.4715,41.59999847,2032.0,5.405405405405405,8.601240834743374,44.472645234066555
1599,6059099413,46.7,2.45,84750.0,50899.0,0.5417,31.0,1598.0,4.895738893925658,15.493623051487953,41.80444024563061
1600,6059099601,32.8,3.66,50492.0,22803.0,0.5314,41.59999847,1426.0,6.841046277665996,21.88484030589294,27.013045434098064
1601,6059099602,42.7,2.89,99838.0,39325.0,0.3526,29.39999962,2012.0,7.188498402555911,8.98645876077144,33.36068937217891
1602,6059099604,40.3,3.21,122917.0,39394.0,0.3354,40.79999924,2824.0,3.5696821515892423,7.755261106780982,41.114575214341386
1603,6059099605,41.1,2.46,105313.0,56628.0,0.4109,29.20000076,2533.0,4.996554100620262,3.7152580828133863,51.36131593874078
1604,6059099701,44.4,3.64,57743.0,21744.0,0.4947,38.59999847,1474.0,10.250173731758165,29.973821989528798,23.080279232111693
1605,6059099702,40.4,3.06,59375.0,30926.0,0.5299,32.09999847,1367.0,8.958388550225285,22.148817802503476,30.059109874826145
1606,6059099703,42.4,2.87,87793.0,41075.0,0.4507,31.89999962,2073.0,4.61357625624449,10.486486486486486,35.26486486486486
1607,6059099802,44.6,2.92,35530.0,16319.0,0.4284,45.79999924,1483.0,5.685193042002545,25.526450950179765,19.82537236774525
1608,6059099803,43.7,3.2,36572.0,21602.0,0.5406,41.20000076,1179.0,8.059810357403355,30.76380728554642,17.81433607520564
1609,6059062610,32.5,1.88,91691.0,66966.0,0.5296,28.70000076,2357.0,4.830917874396135,2.3640960809102403,75.25916561314791
1610,6059063101,31.8,2.5,92434.0,55894.0,0.5106,30.29999924,1897.0,5.550329256820319,4.708904109589041,44.86301369863014
1611,6059063802,46.0,2.84,118000.0,55605.0,0.4586,35.29999924,1736.0,5.714285714285714,5.032067094227923,42.32856438085841
1612,6059063803,39.0,2.57,103523.0,48776.0,0.4026,24.39999962,1769.0,3.8975926633549864,9.969512195121952,41.61585365853659
1613,6059063805,39.7,2.96,122750.0,48850.0,0.4203,26.89999962,2137.0,2.34375,12.473002159827214,43.412526997840175
1614,6059063806,41.1,2.74,109306.0,60987.0,0.506,40.59999847,1832.0,2.160919540229885,9.382986491420226,51.40562248995983
1615,6059063807,35.2,2.3,70417.0,37069.0,0.4085,35.0,1882.0,4.799107142857143,12.947337794588304,36.60168751818446
1616,6059063902,29.8,2.64,79698.0,36598.0,0.3945,34.09999847,1910.0,4.704412989175687,10.131971051511282,38.29289059174117
1617,6059063903,35.5,3.63,105000.0,33968.0,0.3673,30.20000076,1804.0,5.513561582925744,15.707205489897063,26.000762485703394
1618,6059063904,35.8,3.44,77639.0,35452.0,0.4762,32.0,1686.0,2.804161013116237,22.32871849485268,39.43911963081292
1619,6059063905,39.2,2.49,86042.0,47116.0,0.4118,34.0,1917.0,3.273007316134001,5.362182502351835,45.18657886484792
1620,6059063907,34.2,2.35,99250.0,49269.0,0.3951,28.5,2361.0,3.1614602935641702,4.662355241389682,58.309520228605805
1621,6059063908,36.3,2.27,86884.0,42754.0,0.3045,28.29999924,1884.0,2.814401622718053,9.804352604968125,41.591558584304245
