,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
15,34029720204,40.0,2.85,76500.0,35464.0,0.4249,51.0,1664.0,3.0209406110538963,4.909898145729956,20.840950639853748
16,34029731201,71.1,1.62,35065.0,29717.0,0.4235,44.59999847,1424.0,8.709338929695697,13.975513975513977,13.259413259413261
17,34029731202,71.7,1.55,41548.0,31603.0,0.3565,45.40000153,1419.0,10.507569011576136,12.696433025692192,12.920927912197556
18,34029731203,69.9,1.67,44375.0,36089.0,0.4331,23.20000076,1096.0,5.787037037037037,13.864491844416563,9.974905897114178
19,34029731204,73.29999999999998,1.77,48395.0,40446.0,0.4838,27.5,1547.0,2.569593147751606,10.85146387322052,17.96937953263497
20,34029732001,46.6,2.84,128774.0,51581.0,0.3651,36.70000076,1590.0,2.216815355501487,5.842931937172775,38.994764397905755
21,34029720001,59.1,1.98,55615.0,39894.0,0.4706,51.0,1889.0,4.078947368421053,12.088226869091951,27.298768261243193
22,34029720101,54.9,1.9,36467.0,26195.0,0.434,28.79999924,1306.0,14.53260015710919,16.069130354844642,19.783048354476925
23,34029720102,73.7,1.4,27606.0,30637.0,0.4523,44.79999924,1087.0,11.126373626373626,16.87125321153297,13.502711961176134
24,34029739100,71.0,1.47,36083.0,30751.0,0.4007,15.0,,4.639175257731959,15.84529008109794,20.83593262632564
25,34025812000,40.0,2.67,105938.0,48211.0,0.3777,28.29999924,1229.0,4.513888888888888,3.0694668820678515,50.16155088852988
26,34019011800,47.0,2.55,110417.0,53954.0,0.415,29.79999924,1603.0,1.5262110152621102,5.911574764033781,48.43517138599106
27,34023008504,42.1,2.54,115903.0,58929.0,0.4251,31.5,1561.0,1.090909090909091,2.4239846906230067,71.67765256219435
28,34023008601,50.2,2.48,148667.0,69115.0,0.3901,27.39999962,2561.0,5.474171164225135,3.6632891660171474,75.05845674201092
29,34035053402,43.2,2.61,135557.0,59124.0,0.3885,22.5,2216.0,5.888483585200626,2.7795063264882804,70.75295581829496
30,34035053901,47.4,2.56,111688.0,65351.0,0.4752,23.0,1833.0,3.559870550161812,3.056768558951965,74.0174672489083
31,34035054201,45.1,2.67,178347.0,76317.0,0.4354,28.5,1517.0,3.5502958579881656,0.9641025641025641,79.11794871794872
32,34025811900,46.8,2.72,137132.0,59359.0,0.4092,,,4.130616801562937,2.1246169560776305,55.362614913176714
33,34025812502,44.4,3.04,154205.0,68172.0,0.4833,31.29999924,1549.0,5.436629289840298,4.197457877623411,50.57641146911026
34,34029718000,41.5,2.6,94049.0,43371.0,0.4307,27.79999924,1281.0,5.813246911079603,10.676156583629894,26.470089815285547
35,34025810600,48.2,2.45,84918.0,46647.0,0.4695,39.0,1241.0,2.782119412316349,8.778541343382843,37.24229660829084
36,34025811301,39.4,2.84,76492.0,35888.0,0.3874,37.09999847,1411.0,6.630961489415965,6.76779463243874,37.10618436406068
37,34029717001,34.2,3.37,126053.0,39336.0,0.3007,,,1.7814726840855106,4.017857142857143,29.761904761904763
38,34029717002,29.0,3.13,69314.0,26739.0,0.436,33.59999847,1372.0,4.931506849315069,10.609911054637864,25.54002541296061
39,34029717101,40.4,3.05,111530.0,41262.0,0.305,25.10000038,1696.0,2.1485189820609096,4.698838896952105,37.554426705370105
40,34029717102,55.1,2.39,79698.0,40100.0,0.3577,23.29999924,1158.0,3.8174273858921164,6.168122270742358,30.267467248908297
41,34029717501,37.9,2.47,67981.0,32388.0,0.3499,40.20000076,1489.0,1.062215477996965,3.6702649656526005,34.013738959764474
42,34029717502,49.4,2.55,93906.0,40775.0,0.3709,42.70000076,1333.0,5.298013245033113,5.805176132278936,35.010783608914444
43,34029720202,68.7,1.55,36955.0,40535.0,0.5157,41.29999924,1041.0,2.8503562945368173,7.8164556962025316,25.696202531645568
44,34029720205,72.5,1.66,49479.0,36995.0,0.3971,51.0,1591.0,4.972375690607735,9.14249684741488,24.02269861286255
45,34029720206,68.1,1.92,60131.0,42094.0,0.4496,21.79999924,1111.0,4.771784232365145,8.907341007737308,27.45801094546141
46,34029721000,37.4,2.92,68322.0,28859.0,0.4258,40.29999924,1689.0,6.29067245119306,13.716814159292035,18.86061946902655
47,34029717200,48.7,2.53,107274.0,49869.0,0.3976,51.0,2188.0,3.2520325203252036,2.551427204592569,33.72667836070802
